,topicID,tweetID,label,full_text_ar
0,CT20-AR-05,1221585936095555584,0,ثور ة لبنان ال يوم و ال عراق تتر و رعاع ايران زال ت رائح ة ال بارود و ال نار فاح ، حرق ال خيم و إطلاق ال رصاص ال متظاهر ين و كتف تعب ت بناء حاجز و ال مواطن ين ل حماي ة مملك ت ال هش ة رعاع ال قرن ال حال #ايران #العراق #لبنان #لبنان_النا_مش_الكن 
1,CT20-AR-05,1221587916750753793,0,#لبنان_النا_مش_الكن أرمل ة فقير ة عليهاإيقاف خدم ات خلونانفرحهاوعيالها ل الله سبحان ه إلاأنتم بيت أجاروعايشه ع ال ضمان و فاتور ة ال كهرباء أهم و شي سداد نص ال فاتور ة و ال فصل بعديوم سأل الله أفرج و الله مبلغ مو معجز ة ال تنفيذ ؛ 2030633080 77 ألف ال كهرباء ؛ 10097517557 7 ألف 
2,CT20-AR-05,1221602993918894081,0,#جدار_العار ال حو ت ال حيطان عمر وا ن و ال شعب حيطان 
3,CT20-AR-05,1221653116036304896,0,حمى #جدار_العار ال سلط ة ال سياسي ة ال فاسد ة شعب ال ثائر ضد ؟ 
4,CT20-AR-05,1221663019345874944,1,موازن ة شو ؟ ارقام صحيح ة حكوم ة نال ال ثق ة ، عنى مسؤول ة ارقام وضع ت ال حكوم ة ال سابق ة انو جلس ة استفزاز ل ال شعب ؟ اذ ا ب دكن ال ناس أعطى فرصة  ة ة ة ة ة ، ب ال قليل ة كون وا منطقي ين #لبنان_ينتفض 
5,CT20-AR-05,1221688210834759680,0,#سندريلات_مرهج :تزامنا انعقاد جلس ة #الموازنة ال نيابي ة ال يوم ال اثنان ، تابعونا شاء عبر شاش ة NBN ال ساعي ة و نصف صباح ا حديث سياسي مباشر حول ال مستجد ات ال سياسي ة ال ساحتين ال محلي ة و ال دولي ة ب ضياف ة ال إعلامي ة أمل فضول @nbntweets 
6,CT20-AR-05,1221689818771591168,0,ل كان إلك 25 سن ة طباخ سياس ة ال بلد و ال عاجبينه بهار ات ك رح اعتبر ثور ة ال شعب شعط ة خفيف ة ب ال طبخ ة وعد ك رح أحس ب احتراق ال طبخ ة كلي ا قريب ا #لبنان_ينتفض 
7,CT20-AR-05,1221691106322276352,0,#بيروت نائب حضر جلس ات مجلس ال عاري ب قو ة ال قمع و ال عزل ال أمني نائب خائن ل ال ة و ال شعب ال لبناني #لبنان_ينتفض #لبنان 
8,CT20-AR-05,1221694569399623681,0,عسكر ين عسكر ل حماي ة ال نائب #لبنان_ينتفض #لبنان_يثور 
9,CT20-AR-05,1221698474854551552,1,ثائر اذار حاصر ال مجلس ال نيابي الان #مجلس_النواب 
10,CT20-AR-05,1221699215518326784,1,اشتباك ات ال جيش ال لبناني و ال محتج ين وسط #بيروت، تزامن ا ال إجراء ات ال أمني ة ال مشدد ة ل موكب ة جلس ة برلماني ة ل مناقش ة موازن ة 2020 #لبنان_ينتفض 
11,CT20-AR-05,1221699806017572864,0,مجلس نائب ال شعب منع ال شعب ال وصول #لبنان_ينتفض 
12,CT20-AR-05,1221702046891544576,1,إشكال ال متظاهر ين و ال جيش محيط مجلس ال نائب #عسكر_على_مين #لبنان_ينتفض 
13,CT20-AR-05,1221702177179172864,1,دافع ال متظاهر ين و ال جيش وسط بيروت #لبنان_ينتفض 
14,CT20-AR-05,1221703871585755137,0,ب حبو بيروت بيزعلوا علي صار مسيج ة ب باطون و سياج شائك ؟ هول بيزعلوا ل ال فقير صار إلهم مكان ب بيروت ؟ منزعل ع سوليدييير ؟ #لبنان_ينتفض ضد ال سجن ال بوليس 
15,CT20-AR-05,1221704705698680832,0,ال موازن ة مسرحي ة درامي ة ضخم ة ضم 100 ممثل ا تعرض ال آن خشب ة ال برلمان ب جمهور كتاب ة ال حكوم ة ال سابق ة أسقط ت ال شارع و ب رعاي ة ال حكوم ة ال حال ة نال ثق ة ال مجلس و ثق ة ال شارع #لبنان_ينتفض #ثقة_الناس_خط_أحمر #أنا_خط_أحمر 
16,CT20-AR-05,1221706879392473088,1,دركي ات ال يوم ك رمل ال متظاهر ات قدام ال برلمان #لبنان_ينتفض 
17,CT20-AR-05,1221707171924193280,0,مصدر دستوري ة ل نداء ال وطن حصل بدعة  ة ة ة ة ة موصوف ة سواء ل ناحي ة مثول حكوم ة جديد ة أمام ال برلمان قبل حياز ت ثق ت ه ، ل جه ة تبني مشروع موازن ة شارك إعداد ه #موازنة_شو #لا_ثقة #لبنان_ينتفض 
18,CT20-AR-05,1221707894359494656,0,ال نائب ولي اعلن وا عدم مشارك ت ال يوم ب ال جلس ة ال نيابي ة ل ه ب قدم استقال ات ؟ ؟ ؟ شو خايفين ال كرسي و ال منصب و ال لقب ؟ #لبنان_ينتفض 
19,CT20-AR-05,1221709346893180928,1,ال جو متوتر ة مدخل مبنى ال نهار #لبنان_ينتفض 
20,CT20-AR-05,1221712917244137473,0,مدخل مبنى ال نهار #لبنان_ينتفض 
21,CT20-AR-05,1221713316118253570,1,ال جيش ال لبناني منع محتج ة ب ال قو ة ال تقدم و أجبر ال تراجع الى ال خلف بيروت ال يوم ثكن ة عسكري ة #لبنان_ينتفض 
22,CT20-AR-05,1221714218560499712,0,وصول #حسان_دياب الى ال مجلس ال نيابي سقط حكوم ة ال وقح ين #لا_ثقة #لبنان_ينتفض 
23,CT20-AR-05,1221715747610726400,0,مشهد تسلل ال نائب ال مجلس ل ال مشارك ة ب جلس ة دستوري ة أساس ل مشهد مذل و مقيت ل ال وقت و جب علي ال إنصياع ل صوت ال شعب مصدر ال مجلس ال فاقد ل ال شرعي ة ، ال ويل ل نائب فصل ون و ال شعب و رفع ون جدار ال عاري #لبنان_ينتفض #إنتخابات_نيابية_مبكرة 
24,CT20-AR-05,1221715860030660609,0,نائب قادر ين تحرك وا بحري ة ل ال وصول ل ال مجلس ، شي ذر ة رام ة و حي ، بيستقيلوا وقح ين #لبنان_ينتفض #جلسة_غير_شرعية #مجلس_النواب 
25,CT20-AR-05,1221716043099508736,0,جلس ة نيابي ة ب ال قو ة ، ب ال غصب ال شعب سلط ة وقح ة خجل ال ثور ة إشتعال ، ال طبق ة ال وقح ة ان رضخ ل إراد ة ال شعب و حكم ال دستور #لبنان_ينتفض 
26,CT20-AR-05,1221716777387855872,0,عنى انت و قاطع عنهر ال كلب ب أحس حال ك ب حرب ال مقنع ين و مسلح ين و دباب ات و شاحن ات و حاجز شو ؟ روق وا روق وا خف وا علي نا شوي #مجلس_النواب #لبنان_ينتفض #بيروت 
27,CT20-AR-05,1221717211116658689,0,مكافح ة شعب مش مكافح ة شغب #لبنان_ينتفض 
28,CT20-AR-05,1221717647840239619,1,قو ة ال أمن ال لبناني اشتبك ال متظاهر ين تزامن ا بدء وصول ال نائب مبنى ال مجلس و ال متظاهر ون هتف ون سليم ة سليم ة #لبنان_ينتفض 
29,CT20-AR-05,1221718420347068417,0,سقط حسن دياب و حيطان وا ال عشر ين #لبنان_النا_مش_الكن #لبنان_ينتفض 
30,CT20-AR-05,1221718463443537920,0,#لبنان_ينتفض اجتماع ال ساعي ات و ال تهديد ب قلب ال طاول ة أمر عمل ات إيراني جرى تنفيذ ه #لبنان تدريجي ا تقاطع مصالح  ة ة ال خارج ذهن ة ال إلغاء ال فاشي يتجسدان ب ال وجه واجه ة ال قميص ال أسود 
